Dimension,Concept,Similarity,Shift_Status,Cold_War_Context,Post_Cold_War_Context
维度三: 安全冲突,peacekeeping,0.6739877462387085,⚠️ 中度偏移,"peace_keeping, unifil, lebanon_unifil, peacekeeping_operation, lebanese_army, disengagement_observer, enhance_effectiveness, peacemaking, dispatch, perform","peace_keeping, peacekeeping_operation, peacekeeping_peacebuilde, peacekeeping_mission, peacemaking, peacemake, peacebuilde, peacebuilding, rapid_reaction, rapid_deployment"
维度三: 安全冲突,armed_conflict,0.6815192699432373,⚠️ 中度偏移,"hostility, strife, conflagration, conflict, friction, fratricidal_war, bloodshed, fratricidal, civil_strife, hotbed_tension","conflict, hotbed_tension, civil_war, protract_conflict, humanitarian_catastrophe, violence, intra_conflict, fratricidal_conflict, spiral_violence, famine"
维度一: 政治法律,rule_law,0.6910185813903809,⚠️ 中度偏移,"norm, law, morality, norm_law, legality, precept, ethic, sovereign_equality, observance, cardinal_principle","good_governance, democracy, fundamental_freedom, independence_judiciary, law, legality, human_dignity, participatory_democracy, principle, social_cohesion"
维度三: 安全冲突,sanction,0.6985228061676025,⚠️ 中度偏移,"mandatory_sanction, sanction_chapter, vii_charter, arm_embargo, comprehensive_mandatory, sanction_impose, provision_chapter, embargo, imposition_comprehensive, mandatory","sanction_impose, embargo, unilateral_sanction, coercive_measure, arm_embargo, punitive_measure, imposition_sanction, lift_sanction, lifting, blockade"
维度一: 政治法律,jurisdiction,0.703891396522522,✅ 相对稳定,"continental_shelf, territorial_water, mile, nautical_mile, maritime, mile_limit, coastal, legally, inviolability, jurisdictional","essentially_domestic, immunity, jurisdictional, court_justice, extradition, tribunal, prosecution, punishment, ruling, legally"
维度五: 环境资源,deforestation,0.70927894115448,✅ 相对稳定,"acid_rain, greenhouse_effect, depletion_ozone, ozone_layer, soil_erosion, layer, climatic_change, pollution, pollutant, deforestation_desertification","deforestation_forest, pollution, carbon_emission, carbon_dioxide, emission_greenhouse, pollutant, land_degradation, harmful_emission, desertification, degradation"
维度一: 政治法律,multilateralism,0.728249192237854,✅ 相对稳定,"internationalism, usefulness, efficacy, vitality, effectiveness, pragmatism, multilateral_diplomacy, interdependence, multilateral, objectivity","multilateral, ideal, relevance, conviction, diplomacy, multilateral_diplomacy, firm_belief, interdependence, universality, belief"
维度三: 安全冲突,ceasefire,0.731935977935791,✅ 相对稳定,"cease_fire, cessation_hostility, withdrawal_troop, armistice_agreement, sinai, israeli_withdrawal, withdrawal_israeli, truce, interim, israel_withdraw","cease_fire, cessation_hostility, ceasefire_agreement, truce, resumption_negotiation, immediate_ceasefire, lusaka_protocol, release_hostage, ceasefire_gaza, lusaka"
维度二: 人权意识,minority,0.7322922945022583,✅ 相对稳定,"indigenous, ethnic_group, black_majority, white_minority, exclusion, elite, indigenous_population, white, discriminate, black","ethnic_minority, religious_minority, ethnic_group, ethnic_linguistic, linguistic_minority, lesbian_gay, roma, indigenous, bisexual_transgender, ethnicity_religion"
维度五: 环境资源,environmental_protection,0.7407089471817017,✅ 相对稳定,"protection_environment, preservation_environment, environmental, conservation, sustainable_development, planning, ecological, scientific_research, environmentally_sound, agriculture","protection_environment, environmental_sustainability, preservation_environment, environmental, conservation, poverty_eradication, poverty_alleviation, poverty_reduction, ecological, blue_economy"
维度六: 科技文化,science_technology,0.7504245042800903,✅ 相对稳定,"scientific_technological, scientific, technological, scientific_technical, application_science, socioeconomic, science, operational_activity, exploration, modern_science","information_technology, innovation, information_communication, scientific_technological, technology_ict, digital_technology, technology, technological, artificial_intelligence, scientific_research"
维度一: 政治法律,law,0.7539305686950684,✅ 相对稳定,"norm, rule_law, norm_law, morality, legality, code, generally_accept, ethic, regulation, universally_accept","norm_law, norm, legality, rule_law, provision_charter, rule, letter_spirit, legal, strict, strictly"
维度一: 政治法律,decolonization,0.7626101970672607,✅ 相对稳定,"decolonisation, process_decolonization, western_sahara, incomplete, liberation, new_caledonia, emancipation, accession_independence, liquidation_colonialism, eradication_colonialism","special_committee, new_caledonia, process_decolonization, french_polynesia, self_determination, western_sahara, holding_referendum, complete, completion, remain_incomplete"
维度六: 科技文化,education,0.7681916356086731,✅ 相对稳定,"health_education, housing, education_health, medical_care, health_care, educational, literacy, health, public_health, employment","quality_education, health_care, educational, literacy, access_education, education_health, girl, health_education, schooling, education_training"
维度二: 人权意识,human_right,0.7736567854881287,✅ 相对稳定,"hunan, fundamental_freedom, human_dignity, rule_law, individual, norm_law, civil_liberty, law, norm, right","human_dignity, human_rights, fundamental_freedom, rule_law, right, gender_equality, norm_law, good_governance, fight_impunity, norm"
维度六: 科技文化,cultural_heritage,0.7785758972167969,✅ 相对稳定,"heritage, culture, treasure, patrimony, affinity, civilization_culture, religious_cultural, history_geography, tradition_culture, culture_religion","heritage, treasure, historical_cultural, patrimony, cultural_religious, cultural_identity, cultural_diversity, cultural_linguistic, identity, common_heritage"
维度三: 安全冲突,disarmament,0.7968677878379822,✅ 相对稳定,"complete_disarmament, arm_control, arm_limitation, disarma, dis_armament, devote_disarmament, arm_race, conventional_arm, confidence_building, reduction_armament","arm_control, non_proliferation, complete_disarmament, npt_review, universalization, npt, nonproliferation, kathmandu, proliferation, treaty"
维度一: 政治法律,treaty,0.7983996868133545,✅ 相对稳定,"protocol, convention, agreement, range_missile, additional_protocol, salt_treaty, ratification, inf_treaty, range_short, ratify","npt, ctbt, protocol, convention, legal_instrument, treaty_prohibition, ban_treaty, rome_statute, kigali_amendment, statute"
维度五: 环境资源,natural_disaster,0.8090808987617493,✅ 相对稳定,"drought_desertification, drought, natural_calamity, food_shortage, natural_catastrophe, hurricane, famine, stricken, drought_famine, cyclone","natural_catastrophe, drought, increase_frequency, severe_drought, natural_calamity, disaster, cyclone, flood_drought, flood, drought_flood"
维度二: 人权意识,democracy,0.8160449862480164,✅ 相对稳定,"democratic, pluralistic_democracy, pluralism, liberty, pluralist, socialism, democratisation, human_dignity, pluralistic, freedom","democratic, participatory_democracy, rule_law, good_governance, democratization, pluralism, social_cohesion, liberty, fundamental_freedom, independence_judiciary"
维度二: 人权意识,discrimination,0.8261858224868774,✅ 相对稳定,"racism_racial, racial_discrimination, apartheid_racial, institutionalized, sex, racism, segregation, racism_apartheid, racial_religious, racialism","racial_discrimination, racism, sexual, exclusion, sexual_orientation, intolerance, racism_xenophobia, ethnicity_religion, anti_semitism, bias"
维度二: 人权意识,equality,0.8328331708908081,✅ 相对稳定,"sovereign_equality, equal, justice_equity, mutual_respect, equity, equity_justice, mutual_advantage, human_dignity, liberty, dignity","justice_equity, equity, equity_justice, equal, justice_fairness, inclusiveness, inclusivity, fairness, liberty, parity"
维度五: 环境资源,desertification,0.8447149395942688,✅ 相对稳定,"drought_desertification, acid_rain, deterioration_environment, drought, deforestation, environmental_degradation, food_shortage, ozone_layer, soil_erosion, natural_disaster","land_degradation, desertification_drought, soil_degradation, water_scarcity, pollution, biodiversity_loss, coastal_erosion, melting_glacier, loss_biodiversity, climatic_change"
维度二: 人权意识,pluralism,0.8484752178192139,✅ 相对稳定,"pluralistic, plurality, philosophical, ideological_pluralism, democracy, popular_participation, pluralistic_democracy, pluralistic_participatory, cultural_identity, socio","plurality, civic, secularism, cultural_diversity, pluralistic, religious_cultural, participatory_democracy, openness, primacy, affiliation"
维度一: 政治法律,sovereignty,0.85028076171875,✅ 相对稳定,"territorial_integrity, sovereignty_territorial, sovereign, independence_sovereignty, integrity, inviolability, unity_territorial, identity, inalienable_right, jurisdiction","independence_sovereignty, territorial_integrity, sovereignty_territorial, internal_affair, non_interference, sovereign, integrity, non_intervention, unity_territorial, inviolability_border"
维度四: 经济贸易,external_debt,0.8694490194320679,✅ 相对稳定,"indebtedness, external_indebtedness, debt_servicing, balance_payment, debt, burden_debt, debt_burden, servicing, oil_import, export_earning","debt_burden, debt_servicing, indebtedness, debt, unsustainable_debt, servicing, burden_debt, debtor, highly_indebted, liquidity"
维度四: 经济贸易,tariff,0.8699225187301636,✅ 相对稳定,"non_tariff, tariff_barrier, subsidy, protectionist_measure, agricultural_product, export_product, protectionist_barrier, export, primary_product, primary_commodity","non_tariff, agricultural_subsidy, protectionist_barrier, subsidy, agricultural_product, tariff_barrier, export_subsidy, import, export, protectionist_measure"
维度一: 政治法律,self_determination,0.8708652257919312,✅ 相对稳定,"decide_destiny, determine_destiny, sahraoui, sovereign, inalienable, inalienable_right, sovereignty, legitimate, indigenous_kanak, homeland","selfdetermination, exercise_inalienable, inalienable_right, sahrawi, inalienable, western_sahara, saharawi, legitimate, new_caledonia, malvinas_island"
维度五: 环境资源,pollution,0.8909326791763306,✅ 相对稳定,"ozone_layer, layer, depletion_ozone, deforestation, global_warming, greenhouse_effect, acid_rain, climatic_change, ecology, pollute","degradation, marine_pollution, environmental_pollution, desertification, deforestation, overfishe, land_degradation, pollutant, biodiversity_loss, acidification"
维度二: 人权意识,social_justice,,❌ 跨时代缺失,,
维度二: 人权意识,woman_right,,❌ 跨时代缺失,,
维度二: 人权意识,freedom_expression,,❌ 跨时代缺失,,
维度二: 人权意识,civil_right,,❌ 跨时代缺失,,
维度三: 安全冲突,international_security,,❌ 跨时代缺失,,
维度三: 安全冲突,arms_control,,❌ 跨时代缺失,,
维度三: 安全冲突,conflict_resolution,,❌ 跨时代缺失,,
维度三: 安全冲突,nuclear_non_proliferation,,❌ 跨时代缺失,,
维度四: 经济贸易,economic_development,,❌ 跨时代缺失,,
维度四: 经济贸易,international_trade,,❌ 跨时代缺失,,
维度四: 经济贸易,poverty_eradication,,❌ 跨时代缺失,,
维度四: 经济贸易,foreign_direct_investment,,❌ 跨时代缺失,,
维度四: 经济贸易,free_trade,,❌ 跨时代缺失,,
维度四: 经济贸易,economic_growth,,❌ 跨时代缺失,,
维度五: 环境资源,water_resource,,❌ 跨时代缺失,,
维度五: 环境资源,greenhouse_gas_emission,,❌ 跨时代缺失,,
维度六: 科技文化,information_technology,,❌ 跨时代缺失,,
维度六: 科技文化,artificial_intelligence,,❌ 跨时代缺失,,
维度六: 科技文化,cybersecurity,,❌ 跨时代缺失,,
维度六: 科技文化,digital_divide,,❌ 跨时代缺失,,
维度六: 科技文化,intellectual_property,,❌ 跨时代缺失,,
